Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
Clint Richardson,Clint Dewitt Richardson,Position: Shooting Guard Ñ”? Shoots: Right,"6-3, 195lb (190cm, 88kg)","Born: August 7, 1956 (Age: 67-074d) in Seattle, Washington us",College: Seattle University,"High School: O'Dea in Seattle, Washington","Draft: Philadelphia 76ers, 2nd round (14th pick, 36th overall), 1979 NBA Draft","NBA Debut: October 26, 1979",Career Length: 8 years,,,,,
Jason Richardson,,(J-Rich),Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-6, 220lb (198cm, 99kg)","Born: January 20, 1981 (Age: 42-273d) in Saginaw, Michigan us",College: Michigan State,,,,,,,,
Jeremy Richardson,Jeremy Terrell Richardson,Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-6, 185lb (198cm, 83kg)","Born: March 1, 1984 (Age: 39-233d) in Allentown, Pennsylvania us",College: Delta State University,"High School: Zachary in Zachary, Louisiana","NBA Debut: January 31, 2007",Career Length: 3 years,,,,,,
Josh Richardson,,"(JRich, Slim, JR)",Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-5, 200lb (196cm, 90kg)","Born: September 15, 1993 (Age: 30-035d) in Edmond, Oklahoma us",College: Tennessee,"High School: Santa Fe in Edmond, Oklahoma","Draft: Miami Heat, 2nd round (10th pick, 40th overall), 2015 NBA Draft","NBA Debut: November 5, 2015",Experience: 8 years,,,,
Malachi Richardson,,Malachi Richardson Ñ”? Twitter: KingMali23 Ñ”? Instagram: kingmali23,(Shoota),Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 205lb (198cm, 92kg)","Born: January 5, 1996 (Age: 27-288d) in Trenton, New Jersey us",,,,,,,,
Micheal Ray Richardson,,Micheal Ray Richardson,"(Sugar Ray, Mike)",Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-5, 189lb (196cm, 85kg)","Born: April 11, 1955 (Age: 68-192d) in Lubbock, Texas us",,,,,,,,
Norm Richardson,Charles Norman Richardson,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 190lb (196cm, 86kg)","Born: July 24, 1979 (Age: 44-088d) in Brooklyn, New York us",College: Hofstra,"High School: William E. Grady Career and Technical in Brooklyn, New York","NBA Debut: February 3, 2002",Career Length: 1 year,,,,,,
Pooh Richardson,,Position: Point Guard Ñ”? Shoots: Right,"6-1, 180lb (185cm, 81kg)","Born: May 14, 1966 (Age: 57-159d) in Philadelphia, Pennsylvania us",College: UCLA,"High School: Benjamin Franklin in Philadelphia, Pennsylvania","Draft: Minnesota Timberwolves, 1st round (10th pick, 10th overall), 1989 NBA Draft","NBA Debut: November 3, 1989",Career Length: 10 years,,,,,
Quentin Richardson,,(Q-Rich),Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-6, 223lb (198cm, 101kg)","Born: April 13, 1980 (Age: 43-190d) in Chicago, Illinois us",College: DePaul,,,,,,,,
Mitch Richmond,,"(Rock, Hammer)",Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 215lb (196cm, 97kg)","Born: June 30, 1965 (Age: 58-112d) in Fort Lauderdale, Florida us",College: Kansas State,,,,,,,,
John Richter,John Fritz Richter,Position: Center Ñ”? Shoots: Right,"6-9, 225lb (206cm, 102kg)","Born: March 12, 1937 in Philadelphia, Pennsylvania us","Died: March 1, 1983 (Aged 45-354d)",College: NC State,,,,,,,,
Dick Ricketts,Richard James Ricketts Jr.,Position: Power Forward and Center Ñ”? Shoots: Right,"6-7, 215lb (201cm, 97kg)","Born: December 4, 1933 in Pottstown, Pennsylvania us","Died: March 6, 1988 (Aged 54-093d)",College: Duquesne,"High School: Pottstown in Pottstown, Pennsylvania","Draft: St. Louis Hawks, 1st round (1st pick, 1st overall), 1955 NBA Draft","NBA Debut: November 5, 1955",Career Length: 3 years,,,,
Isaiah Rider,Isaiah Rider Jr.,(J.R.),Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 215lb (196cm, 97kg)","Born: March 12, 1971 (Age: 52-222d) in Oakland, California us",College: UNLV,,,,,,,,
Jackie Ridgle,Jackie Lendell Ridgle,Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 195lb (193cm, 88kg)","Born: February 13, 1948 in Altheimer, Arkansas us","Died: August 26, 1998 (Aged 50-194d)",College: California,"High School: Martin in Altheimer, Arkansas","Draft: Cleveland Cavaliers, 3rd round (6th pick, 41st overall), 1971 NBA Draft","NBA Debut: October 19, 1971",Career Length: 1 year,,,,
Luke Ridnour,,(Frodo),Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-2, 175lb (188cm, 79kg)","Born: February 13, 1981 (Age: 42-249d) in Coeur d'Alene, Idaho us",College: Oregon,,,,,,,,
Mel Riebe,Melvin Russell Riebe,(Mouse),Position: Guard/Forward Ñ”? Shoots: Right,"5-11, 180lb (180cm, 81kg)","Born: July 12, 1916 in Cleveland, Ohio us","Died: July 25, 1977 (Aged 61-013d)",College: College of Wooster,"High School: Euclid in Euclid, Ohio","NBA Debut: November 3, 1946",Career Length: 3 years,,,,
Bob Riedy,Robert F. Riedy,Position: Power Forward Ñ”? Shoots: Right,"6-6, 215lb (198cm, 97kg)","Born: August 26, 1945 (Age: 78-055d)",College: Duke,"Draft: Baltimore Bullets, 6th round (1st pick, 56th overall), 1967 NBA Draft","ABA Debut: October 17, 1967",Career Length: 1 year,,,,,,
Jim Riffey,James R. Riffey,Position: Forward Ñ”? Shoots: Right,"6-4, 200lb (193cm, 90kg)","Born: December 14, 1923 in Washington, Indiana us","Died: January 30, 2018 (Aged 94-047d)",College: Tulane,"High School: Washington in Washington, Indiana","Draft: Fort Wayne Pistons, 2nd round (8th pick, 20th overall), 1950 NBA Draft","NBA Debut: November 1, 1950",Career Length: 1 year,,,,
Antoine Rigaudeau,Pronunciation: \AN-twan RIG-uh-doh\,Antoine Roger Rigaudeau,Position: Shooting Guard Ñ”? Shoots: Right,"6-7, 210lb (201cm, 95kg)","Born: December 17, 1971 (Age: 51-307d) in Cholet, France fr","NBA Debut: January 19, 2003",Career Length: 1 year,,,,,,,
Tom Riker,Thomas E. Riker,Position: Center Ñ”? Shoots: Right,"6-10, 225lb (208cm, 102kg)","Born: February 28, 1950 (Age: 73-234d) in Rockville Centre, New York us",College: South Carolina,"High School: Saint Dominic in Oyster Bay, New York","Draft: New York Knicks, 1st round (8th pick, 8th overall), 1972 NBA Draft","NBA Debut: October 10, 1972",Career Length: 3 years,,,,,
Bob Riley,Robert J. Riley,Position: Forward Ñ”? Shoots: Right,"6-9, 235lb (206cm, 106kg)","Born: July 6, 1948 (Age: 75-106d)",College: Mount St. Mary's University,"Draft: Atlanta Hawks, 5th round (14th pick, 82nd overall), 1970 NBA Draft","NBA Debut: October 22, 1970",Career Length: 1 year,,,,,,
Eric Riley,Eric Kendall Riley,Position: Center Ñ”? Shoots: Right,"7-0, 245lb (213cm, 111kg)","Born: June 2, 1970 (Age: 53-140d) in Cleveland, Ohio us",College: Michigan,"High School: St. Joseph in Cleveland, Ohio","Draft: Dallas Mavericks, 2nd round (6th pick, 33rd overall), 1993 NBA Draft","NBA Debut: November 5, 1993",Career Length: 5 years,,,,,
Pat Riley,Patrick James Riley,"(Riles, MacGyver)",Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-4, 205lb (193cm, 92kg)","Born: March 20, 1945 (Age: 78-214d) in Rome, New York us",College: Kentucky,,,,,,,,
Ron Riley,Ronald Jay Riley,(The Spoon),Position: Power Forward Ñ”? Shoots: Right,"6-8, 195lb (203cm, 88kg)","Born: November 11, 1950 (Age: 72-343d) in Los Angeles, California us",College: USC,"High School: Jordan in Los Angeles, California","Draft: Kansas City-Omaha Kings, 3rd round (8th pick, 38th overall), 1972 NBA Draft","NBA Debut: October 11, 1972",Career Length: 4 years,,,,
Grant Riller,,Position: Point Guard Ñ”? Shoots: Right,"6-2, 190lb (188cm, 86kg)","Born: February 8, 1997 (Age: 26-254d) in Orlando, Florida us",College: College of Charleston,"High School: Ocoee in Ocoee, Florida","Draft: Charlotte Hornets, 2nd round (26th pick, 56th overall), 2020 NBA Draft","NBA Debut: April 4, 2021",Experience: 1 year,,,,,
Rich Rinaldi,Richard P. Rinaldi,Position: Shooting Guard Ñ”? Shoots: Right,"6-3, 195lb (190cm, 88kg)","Born: August 3, 1949 (Age: 74-078d) in Poughkeepsie, New York us",College: Saint Peter's College,"Draft: Baltimore Bullets, 3rd round (8th pick, 43rd overall), 1971 NBA Draft","NBA Debut: October 16, 1971 Ñ”? ABA Debut: November 28, 1973",Career Length: 3 years,,,,,,
Mike Riordan,,"(Bags, Iron Mike)",Position: Small Forward and Shooting Guard Ñ”? Shoots: Left,"6-4, 200lb (193cm, 90kg)","Born: July 9, 1945 (Age: 78-103d) in New York, New York us",College: Providence,,,,,,,,
Arnie Risen,,"(Stilts, Big Slim, Stretch)",Position: Center Ñ”? Shoots: Right,"6-9, 200lb (206cm, 90kg)","Born: October 9, 1924 in Williamstown, Kentucky us","Died: August 4, 2012 (Aged 87-300d)",,,,,,,,
Tex Ritter,Goebel Franklin Ritter,Position: Guard/Forward Ñ”? Shoots: Right,"6-2, 185lb (188cm, 83kg)","Born: February 26, 1924 in Richmond, Kentucky us","Died: October 15, 2004 (Aged 80-232d)",College: Eastern Kentucky University,"Draft: New York Knicks, 7th round, 1948 BAA Draft","NBA Debut: November 3, 1948",Career Length: 3 years,,,,,
Ram??n Rivas,Ram??n Rivas,(Full name Juan Ram??n Rivas Contreras),Position: Center Ñ”? Shoots: Right,"6-10, 260lb (208cm, 117kg)","Born: June 3, 1966 (Age: 57-139d) in Carolina, Puerto Rico pr",College: Temple,"High School: Pedro Albizu in Levittown, Puerto Rico","NBA Debut: November 5, 1988",Career Length: 1 year,,,,,
Austin Rivers,,"(Sub-Zero, Macaroni Toni)",Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-4, 200lb (193cm, 90kg)","Born: August 1, 1992 (Age: 31-080d) in Santa Monica, California us",Relatives: Brother Jeremiah Rivers; Brother-in-law Seth Curry; Father Doc Rivers,,,,,,,,
David Rivers,David Lee Rivers,Position: Point Guard Ñ”? Shoots: Right,"6-0, 170lb (183cm, 77kg)","Born: January 20, 1965 (Age: 58-273d) in Jersey City, New Jersey us",College: Notre Dame,"High School: St. Anthony in Jersey City, New Jersey","Draft: Los Angeles Lakers, 1st round (25th pick, 25th overall), 1988 NBA Draft","NBA Debut: November 9, 1988",Career Length: 3 years,,,,,
Doc Rivers,,"(Doc, Moonie)",Position: Point Guard Ñ”? Shoots: Right,"6-4, 185lb (193cm, 83kg)","Born: October 13, 1961 (Age: 62-007d) in Chicago, Illinois us","Relatives: Cousin Byron Irvin; Son Austin Rivers, Jeremiah Rivers; Son-in-law Seth Curry; Uncle Jim Brewer",,,,,,,,
Lee Robbins,Lee Roy Robbins,Position: Forward Ñ”? Shoots: Right,"6-3, 175lb (190cm, 79kg)","Born: February 11, 1922 in Rockwall, Texas us","Died: April 8, 1968 (Aged 46-057d)",College: Colorado,"High School: Greeley in Greeley, Colorado",Career Length: 2 years,,,,,,
Red Robbins,Austin Robbins,Position: Center and Power Forward Ñ”? Shoots: Right,"6-8, 190lb (203cm, 86kg)","Born: September 30, 1944 in Leesburg, Florida us","Died: November 18, 2009 (Aged 65-049d)","Colleges: Chipola College, Tennessee",,,,,,,,
Andre Roberson,,Andre Lee Roberson Ñ”? Twitter: FlyDre21 Ñ”? Instagram: flydre21,Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-7, 210lb (201cm, 95kg)","Born: December 4, 1991 (Age: 31-320d) in Las Cruces, New Mexico us",College: Colorado,,,,,,,,
Anthony Roberson,,Position: Point Guard Ñ”? Shoots: Right,"6-2, 180lb (188cm, 81kg)","Born: February 14, 1983 (Age: 40-248d) in Saginaw, Michigan us",Relatives: Cousin Terrance Roberson,College: Florida,"High School: Saginaw in Saginaw, Michigan",Recruiting Rank: 2002 (16),"NBA Debut: November 26, 2005",Career Length: 3 years,,,,
Rick Roberson,Rick Roberson,Position: Center and Power Forward Ñ”? Shoots: Right,"6-9, 231lb (206cm, 104kg)","Born: July 7, 1947 in Memphis, Tennessee us","Died: May 3, 2020 (Aged 72-301d)",College: Cincinnati,"High School: Mitchell in Memphis, Tennessee","Draft: Los Angeles Lakers, 1st round (15th pick, 15th overall), 1969 NBA Draft","NBA Debut: October 25, 1969",Career Length: 7 years,,,,
Terrance Roberson,Terrance Roberson,Position: Small Forward Ñ”? Shoots: Right,"6-7, 215lb (201cm, 97kg)","Born: December 30, 1976 (Age: 46-294d) in Saginaw, Michigan us",Relatives: Cousin Anthony Roberson,College: Fresno State,"High School: Buena Vista in Saginaw, Michigan","NBA Debut: November 20, 2000",Career Length: 1 year,,,,,
Anthony Roberts,Anthony Jerome Roberts,Position: Small Forward Ñ”? Shoots: Right,"6-5, 185lb (196cm, 83kg)","Born: April 15, 1955 in Chattanooga, Tennessee us","Died: March 29, 1997 (Aged 41-348d)",College: Oral Roberts,"High School: Riverside in Chattanooga, Tennessee","Draft: Denver Nuggets, 1st round (21st pick, 21st overall), 1977 NBA Draft","NBA Debut: October 19, 1977",Career Length: 5 years,,,,
Bill Roberts,William Joseph Roberts,Position: Center Ñ”? Shoots: Right,"6-9, 210lb (206cm, 95kg)","Born: March 13, 1925 in Fort Wayne, Indiana us","Died: January 23, 2016 (Aged 90-316d)",College: Wyoming,Career Length: 2 years,,,,,,,
Brian Roberts,,Position: Point Guard Ñ”? Shoots: Right,"6-1, 173lb (185cm, 78kg)","Born: December 3, 1985 (Age: 37-321d) in Toledo, Ohio us",College: Dayton,"High School: St John's Jesuit in Toledo, Ohio","NBA Debut: October 31, 2012",Career Length: 5 years,,,,,,
Fred Roberts,Frederick Clark Roberts,"Position: Power Forward, Center, and Small Forward Ñ”? Shoots: Right","6-10, 218lb (208cm, 98kg)","Born: August 14, 1960 (Age: 63-067d) in Provo, Utah us",College: BYU,"High School: Bingham in South Jordan, Utah","Draft: Milwaukee Bucks, 2nd round (4th pick, 27th overall), 1982 NBA Draft","NBA Debut: October 29, 1983",Career Length: 13 years,,,,,
Joe Roberts,Joseph C. Roberts,Position: Power Forward and Small Forward Ñ”? Shoots: Right,"6-6, 214lb (198cm, 97kg)","Born: May 18, 1936","Died: October 10, 2022 (Aged 86-145d)",College: Ohio State,"High School: East in Columbus, Ohio","Draft: Syracuse Nationals, 3rd round (5th pick, 21st overall), 1960 NBA Draft","NBA Debut: October 22, 1960 Ñ”? ABA Debut: January 10, 1968",Career Length: 4 years,,,,
Lawrence Roberts,Lawrence Edward Roberts III,Position: Power Forward and Center Ñ”? Shoots: Right,"6-9, 240lb (206cm, 108kg)","Born: October 20, 1982 (Age: 41-000d, Happy Birthday!) in Houston, Texas us","Colleges: Baylor, Mississippi State","High School: Lamar in Houston, Texas",Recruiting Rank: 2001 (87),"Draft: Seattle SuperSonics, 2nd round (25th pick, 55th overall), 2005 NBA Draft","NBA Debut: November 2, 2005",Career Length: 2 years,,,,
Marv Roberts,Marvin James Roberts,Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-8, 200lb (203cm, 90kg)","Born: January 29, 1950 (Age: 73-264d) in Brooklyn, New York us",College: Utah State University,"High School: Wingate in Brooklyn, New York","Draft: Detroit Pistons, 3rd round (10th pick, 45th overall), 1971 NBA Draft","NBA Debut: November 5, 1976 Ñ”? ABA Debut: October 13, 1971",Career Length: 6 years,,,,,
Stanley Roberts,Stanley Corvet Roberts,Position: Center Ñ”? Shoots: Right,"7-0, 285lb (213cm, 129kg)","Born: February 7, 1970 (Age: 53-255d) in Hopkins, South Carolina us",College: LSU,"High School: Lower Richland in Hopkins, South Carolina","Draft: Orlando Magic, 1st round (23rd pick, 23rd overall), 1991 NBA Draft","NBA Debut: November 2, 1991",Career Length: 8 years,,,,,
Alvin Robertson,,(Dog),Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 185lb (193cm, 83kg)","Born: July 22, 1962 (Age: 61-090d) in Barberton, Ohio us",Relatives: Son Elgin Cook,,,,,,,,
Oscar Robertson,,"(Big O, Mr. Triple Double, Ozzie, Oscar the Grouch)",Position: Point Guard Ñ”? Shoots: Right,"6-5, 205lb (196cm, 92kg)","Born: November 24, 1938 (Age: 84-330d) in Charlotte, Tennessee us",College: Cincinnati,,,,,,,,
Ryan Robertson,Ryan Ashley Robertson,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 190lb (196cm, 86kg)","Born: October 2, 1976 (Age: 47-018d) in Lawton, Oklahoma us",College: Kansas,"High School: West in Saint Charles, Missouri","Draft: Sacramento Kings, 2nd round (16th pick, 45th overall), 1999 NBA Draft","NBA Debut: April 19, 2000",Career Length: 1 year,,,,,
Tony Robertson,Darryl Robertson,Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 195lb (193cm, 88kg)","Born: January 1, 1956 (Age: 67-292d) in Detroit, Michigan us",College: West Virginia,"Draft: Los Angeles Lakers, 4th round (22nd pick, 88th overall), 1977 NBA Draft","NBA Debut: November 10, 1977",Career Length: 2 years,,,,,,
Rick Robey,Frederick Robert Robey,Position: Center Ñ”? Shoots: Right,"6-11, 230lb (211cm, 104kg)","Born: January 30, 1956 (Age: 67-263d) in Coral Gables, Florida us",College: Kentucky,"High School: Brother Martin in New Orleans, Louisiana","Draft: Indiana Pacers, 1st round (3rd pick, 3rd overall), 1978 NBA Draft","NBA Debut: October 13, 1978",Career Length: 8 years,,,,,
Bernard Robinson,Bernard Gregory Robinson Jr.,Position: Small Forward and Shooting Guard Ñ”? Shoots: Left,"6-6, 210lb (198cm, 95kg)","Born: December 26, 1980 (Age: 42-298d) in Washington, District of Columbia us",College: Michigan,"High School: Dunbar in Washington, District of Columbia",Recruiting Rank: 2000 (67),"Draft: Charlotte Bobcats, 2nd round (16th pick, 45th overall), 2004 NBA Draft","NBA Debut: November 4, 2004",Career Length: 3 years,,,,
Chris Robinson,Christopher Sean Robinson,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 200lb (196cm, 90kg)","Born: April 2, 1974 (Age: 49-201d) in Columbus, Georgia us",College: Western Kentucky,"High School: Southwest in Macon, Georgia","Draft: Vancouver Grizzlies, 2nd round (22nd pick, 51st overall), 1996 NBA Draft","NBA Debut: November 30, 1996",Career Length: 2 years,,,,,
Cliff Robinson,Clifford Trent Robinson,(Tree Top),"Position: Power Forward, Small Forward, and Center Ñ”? Shoots: Right","6-9, 220lb (206cm, 99kg)","Born: March 13, 1960 (Age: 63-221d) in Oakland, California us",College: USC,"High School: Castlemont in Oakland, California","Draft: New Jersey Nets, 1st round (11th pick, 11th overall), 1979 NBA Draft","NBA Debut: October 12, 1979",Career Length: 11 years,,,,
Clifford Robinson,,"(Cliff, Uncle Cliffy)","Position: Power Forward, Small Forward, and Center Ñ”? Shoots: Right","6-10, 225lb (208cm, 102kg)","Born: December 16, 1966 in Buffalo, New York us","Died: August 29, 2020 (Aged 53-257d)",,,,,,,,
David Robinson,,"(The Admiral, D-Rob)",Position: Center Ñ”? Shoots: Left,"7-1, 235lb (216cm, 106kg)","Born: August 6, 1965 (Age: 58-075d) in Key West, Florida us",College: United States Naval Academy,,,,,,,,
Devin Robinson,,Position: Small Forward Ñ”? Shoots: Right,"6-8, 200lb (203cm, 90kg)","Born: March 7, 1995 (Age: 28-227d) in Chesterfield, Virginia us",College: Florida,"High School: Christchurch School in Christchurch, Virginia",Recruiting Rank: 2014 (20),"NBA Debut: April 11, 2018",Career Length: 2 years,,,,,
Duncan Robinson,,(Dunc),Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-7, 215lb (201cm, 97kg)","Born: April 22, 1994 (Age: 29-181d) in York, Maine us","Colleges: Williams, Michigan","High School: Phillips Exeter Academy in Exeter, New Hampshire","NBA Debut: October 24, 2018",Experience: 5 years,,,,,
Eddie Robinson,Eddie B. Robinson Jr.,Position: Small Forward Ñ”? Shoots: Right,"6-8, 210lb (203cm, 95kg)","Born: April 19, 1976 (Age: 47-184d) in Flint, Michigan us",College: University of Central Oklahoma,"High School: Flint Northern in Flint, Michigan","NBA Debut: November 2, 1999",Career Length: 5 years,,,,,,
Flynn Robinson,Flynn James Robinson,"(Electric Eye, Instant Point)",Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-1, 185lb (185cm, 83kg)","Born: April 28, 1941 in Elgin, Illinois us","Died: May 23, 2013 (Aged 72-025d)",,,,,,,,
Glenn Robinson,,"(Big Dog, The Chosen One)",Position: Small Forward Ñ”? Shoots: Right,"6-7, 225lb (201cm, 102kg)","Born: January 10, 1973 (Age: 50-283d) in Gary, Indiana us",Relatives: Son Glenn Robinson III,,,,,,,,
